id,avg_income_ttm,avg_expense_ttm,ori_country,dest_country,trip_type_oneway,trip_type_roundtrip,trip_cost,num_stops,booking_date,dept_date,return_date,num_travellers,traveller_one_dob,traveller_two_dob,traveller_three_dob,traveller_four_dob,ins_comp,subs_plan
105,2529.91,1586.03,Singapore,China,TRUE,FALSE,843.15,1,25-10-20,09-02-21,04-03-21,4,17-05-05,15-12-85,21-11-18,09-10-83,AIA,0
106,8101.23,1390.81,Singapore,China,TRUE,FALSE,1495.76,1,07-10-20,07-02-21,23-03-21,1,02-07-99,,,,AIA,0
107,3461.45,949.53,Singapore,China,FALSE,TRUE,1477.3,0,03-10-20,05-02-21,09-03-21,3,26-01-99,21-03-88,01-11-17,,AIA,0
108,5395.08,2091.99,Singapore,Philippines,FALSE,TRUE,369.63,0,19-10-20,02-02-21,23-03-21,4,27-12-01,14-12-94,15-09-86,18-06-84,AXA,2
109,7118.75,2115.23,Singapore,China,TRUE,FALSE,190.33,1,14-10-20,13-02-21,18-02-21,3,18-07-82,21-02-13,31-07-04,,AXA,0
110,4713.06,2041.44,Singapore,China,TRUE,FALSE,1511.73,3,25-10-20,02-02-21,18-02-21,1,09-06-90,,,,AIA,1
111,2585.07,2782.19,Singapore,China,TRUE,FALSE,216.49,1,07-10-20,02-02-21,26-02-21,4,13-10-73,01-12-71,07-06-80,18-10-08,Aviva,0
112,10369.39,2093.06,Singapore,China,TRUE,FALSE,1586.9,2,07-10-20,11-02-21,16-02-21,3,08-06-07,09-11-93,04-07-02,,Allianze,1
113,9242.57,2741.3,Singapore,Philippines,FALSE,TRUE,1233.65,1,08-10-20,08-02-21,19-02-21,2,23-09-79,21-10-79,,,AXA,0
114,7411.02,2481.04,Singapore,China,TRUE,FALSE,1799.67,0,19-10-20,06-02-21,05-03-21,3,11-04-08,07-01-90,27-05-86,,Allianze,1
115,9951.58,2556.76,Singapore,Philippines,TRUE,FALSE,834.28,3,20-10-20,10-02-21,09-03-21,2,04-06-03,23-03-99,,,AXA,2
116,8540.24,1236.68,Singapore,Vietnam,FALSE,TRUE,1672.54,0,13-10-20,06-02-21,27-02-21,1,17-06-93,,,,Allianze,0
117,6049.76,2867.41,Singapore,United States,TRUE,FALSE,1941.87,0,22-10-20,11-02-21,15-02-21,2,25-05-18,03-05-71,,,AIA,0
118,5895.97,1298.34,Singapore,Philippines,FALSE,TRUE,522.17,3,18-10-20,11-02-21,20-03-21,1,01-05-85,,,,AXA,2
119,4730.55,1165.63,Singapore,China,TRUE,FALSE,303.44,0,03-10-20,12-02-21,09-03-21,2,17-06-82,06-12-18,,,AXA,0
120,3687.68,2295.95,Singapore,United States,FALSE,TRUE,493.68,0,15-10-20,05-02-21,03-03-21,2,01-06-18,14-03-17,,,AIA,1
121,4431.53,975.93,Singapore,China,FALSE,TRUE,1232.81,0,20-10-20,10-02-21,10-03-21,2,22-08-88,31-01-73,,,Aviva,0
122,9839.05,1433.28,Singapore,China,FALSE,TRUE,567.85,1,08-10-20,05-02-21,05-03-21,4,24-08-71,11-10-92,02-09-06,07-11-04,AIA,2
123,3493.62,1574.08,Singapore,China,TRUE,FALSE,1016.52,0,22-10-20,01-02-21,04-03-21,1,19-07-17,,,,AIA,2
124,2285.53,2331.74,Singapore,United States,FALSE,TRUE,325.61,2,07-10-20,03-02-21,30-03-21,1,01-10-10,,,,AIA,1
125,6251.49,1593.05,Singapore,China,TRUE,FALSE,744.55,0,15-10-20,12-02-21,23-03-21,4,09-03-82,04-04-14,13-09-73,19-01-96,Allianze,2
126,8715.23,2275.5,Singapore,China,TRUE,FALSE,1422.44,3,16-10-20,07-02-21,22-02-21,3,15-01-74,28-05-90,19-01-85,,AIA,2
127,9120.92,1465.39,Singapore,China,FALSE,TRUE,779.61,1,29-10-20,13-02-21,18-03-21,1,09-04-90,,,,AXA,2
128,5398.18,1373.68,Singapore,China,TRUE,FALSE,1604.58,1,06-10-20,04-02-21,20-02-21,2,08-12-82,20-04-00,,,Allianze,1
129,2914.82,1702.26,Singapore,China,TRUE,FALSE,143.34,0,25-10-20,01-02-21,26-02-21,3,01-08-14,01-01-00,25-11-74,,AXA,2
130,5544.33,2327.29,Singapore,China,FALSE,TRUE,759.97,0,07-10-20,05-02-21,19-03-21,1,10-04-71,,,,AIA,1
131,11281.5,1363.64,Singapore,Thailand,FALSE,TRUE,1500.7,0,10-10-20,13-02-21,10-03-21,2,06-11-16,06-06-98,,,Aviva,1
132,10833.82,1855.06,Singapore,China,FALSE,TRUE,1240.46,2,06-10-20,07-02-21,25-02-21,4,02-08-94,11-02-87,16-03-82,21-08-76,AXA,0
133,10474.44,2544.9,Singapore,Philippines,TRUE,FALSE,1599.42,1,23-10-20,13-02-21,21-02-21,2,04-05-74,25-03-79,,,AXA,2
134,6918.1,2531.28,Singapore,Philippines,TRUE,FALSE,968.45,3,26-10-20,13-02-21,04-03-21,3,13-03-12,09-05-86,02-05-90,,AXA,2
135,4283.48,1390.4,Singapore,China,TRUE,FALSE,848.59,0,25-10-20,06-02-21,17-02-21,1,20-11-05,,,,Aviva,0
136,7739.03,2086.87,Singapore,Vietnam,TRUE,FALSE,213.36,3,09-10-20,01-02-21,22-02-21,1,25-03-79,,,,Allianze,1
137,10239.43,1052.38,Singapore,China,FALSE,TRUE,889.29,1,15-10-20,01-02-21,24-02-21,3,22-04-84,06-11-89,08-03-83,,AIA,0
138,11103.03,819.74,Singapore,Philippines,FALSE,TRUE,356.56,3,04-10-20,02-02-21,16-03-21,2,22-01-01,15-05-72,,,AXA,0
139,8556.28,2886.71,Singapore,United States,TRUE,FALSE,429.68,1,10-10-20,11-02-21,21-02-21,2,24-06-72,24-05-87,,,AIA,1
140,5982.55,1761.16,Singapore,China,TRUE,FALSE,1745.88,2,11-10-20,04-02-21,18-02-21,1,25-11-11,,,,AIA,1
141,7591.13,2109.83,Singapore,China,FALSE,TRUE,1146.33,1,22-10-20,07-02-21,14-03-21,3,26-11-81,22-02-70,17-04-08,,AIA,2
142,11211.08,1946.59,Singapore,China,FALSE,TRUE,1808.45,2,06-10-20,10-02-21,21-03-21,4,21-01-17,21-01-09,02-02-96,02-05-84,Allianze,0
143,9488.91,1556.36,Singapore,China,TRUE,FALSE,1683.62,0,03-10-20,05-02-21,15-02-21,3,09-06-06,30-11-81,04-09-03,,Aviva,1
144,11356.81,993.25,Singapore,Philippines,FALSE,TRUE,876.92,1,03-10-20,09-02-21,26-03-21,2,11-10-16,08-06-11,,,AXA,0
145,10977.94,1523.61,Singapore,China,TRUE,FALSE,906.21,2,21-10-20,01-02-21,12-03-21,1,12-05-92,,,,Aviva,1
146,7841.21,2939.94,Singapore,Philippines,TRUE,FALSE,232.79,1,22-10-20,11-02-21,07-03-21,3,22-05-80,17-06-93,27-07-94,,AXA,2
147,3156.6,1442.15,Singapore,China,FALSE,TRUE,243.88,1,19-10-20,08-02-21,05-03-21,1,29-08-79,,,,AXA,1
148,4155.29,2121.85,Singapore,Malaysia,TRUE,FALSE,1364.67,2,29-10-20,09-02-21,13-03-21,1,25-11-05,,,,AXA,1
149,4381.23,1616.75,Singapore,China,FALSE,TRUE,1972.83,0,11-10-20,01-02-21,21-02-21,4,01-08-99,25-07-09,19-12-84,25-08-98,AIA,2
150,4769.03,2236.56,Singapore,United States,TRUE,FALSE,1878.05,2,05-10-20,09-02-21,25-03-21,3,23-09-71,01-04-83,10-05-00,,Allianze,2
151,5245.8,1520.34,Singapore,Philippines,TRUE,FALSE,417.39,2,27-10-20,10-02-21,15-03-21,4,16-11-86,05-12-17,27-06-73,19-04-73,AXA,2
152,10852.27,1934.61,Singapore,China,FALSE,TRUE,249.22,1,28-10-20,09-02-21,18-02-21,2,20-05-18,26-02-85,,,AXA,2
153,9103.09,2390.04,Singapore,China,TRUE,FALSE,1910.06,0,06-10-20,11-02-21,30-03-21,3,20-08-18,06-09-97,31-05-94,,Aviva,0
154,11815.08,2545.71,Singapore,China,TRUE,FALSE,617.21,3,24-10-20,04-02-21,30-03-21,4,05-11-96,22-03-07,19-09-07,25-10-78,AIA,0
155,5689.04,1983.01,Singapore,Philippines,TRUE,FALSE,1308.68,0,13-10-20,07-02-21,18-03-21,3,28-10-95,06-09-10,16-06-70,,AXA,1
156,6064.78,2084.38,Singapore,China,FALSE,TRUE,207.08,2,06-10-20,11-02-21,28-03-21,2,22-11-87,14-02-76,,,Aviva,0
157,8583.27,1895.41,Singapore,China,FALSE,TRUE,1285.71,1,14-10-20,11-02-21,11-03-21,2,26-09-95,10-09-74,,,Aviva,0
158,11666.85,1097.33,Singapore,China,TRUE,FALSE,1462.59,0,17-10-20,05-02-21,26-02-21,2,08-03-09,06-07-98,,,AIA,2
159,7028.38,2719.18,Singapore,China,FALSE,TRUE,180.34,1,29-10-20,10-02-21,20-03-21,4,06-08-75,24-03-72,11-07-09,18-09-73,Aviva,1
160,9525.84,2161.26,Singapore,Philippines,FALSE,TRUE,1686.92,3,28-10-20,04-02-21,04-03-21,2,06-08-12,03-10-14,,,AXA,0
161,10569.43,1745.61,Singapore,Thailand,TRUE,FALSE,1791.24,1,28-10-20,02-02-21,22-02-21,1,27-12-85,,,,Aviva,1
162,8216.27,2909.68,Singapore,Philippines,FALSE,TRUE,773.48,1,04-10-20,03-02-21,10-03-21,4,10-07-96,14-04-98,10-04-87,21-04-89,AXA,0
163,4278.27,1542.91,Singapore,China,FALSE,TRUE,546.31,3,25-10-20,08-02-21,27-03-21,2,03-03-04,22-08-73,,,AIA,1
164,8196.95,1215.3,Singapore,United States,TRUE,FALSE,563,3,28-10-20,09-02-21,28-02-21,3,05-09-05,13-06-88,01-10-06,,AIA,1
165,5654.11,2476.82,Singapore,China,TRUE,FALSE,708.53,2,10-10-20,11-02-21,28-02-21,3,30-08-76,22-08-18,17-03-00,,AXA,1
166,6628.38,2505.23,Singapore,China,TRUE,FALSE,386.59,2,09-10-20,04-02-21,08-03-21,2,02-11-93,19-03-92,,,AXA,0
167,10558,813.04,Singapore,Philippines,FALSE,TRUE,1558.39,2,27-10-20,02-02-21,25-03-21,3,19-11-82,15-09-75,18-05-13,,AXA,2
168,6734.96,1067.72,Singapore,China,FALSE,TRUE,857.18,1,23-10-20,08-02-21,19-03-21,1,07-12-91,,,,Allianze,1
169,3398.08,2373.66,Singapore,China,TRUE,FALSE,306.4,2,10-10-20,07-02-21,01-03-21,1,14-01-82,,,,AIA,0
170,7548.35,2408.3,Singapore,China,FALSE,TRUE,1266.87,3,14-10-20,05-02-21,17-03-21,1,24-12-93,,,,Aviva,1
171,4892.41,2974.58,Singapore,United States,TRUE,FALSE,722.29,1,23-10-20,03-02-21,05-03-21,4,09-09-80,22-10-16,09-09-89,24-01-09,Allianze,0
172,5812.32,2441.27,Singapore,China,FALSE,TRUE,1357.88,1,05-10-20,04-02-21,15-03-21,3,24-02-13,05-03-72,01-02-98,,AXA,2
173,6116.26,1509.13,Singapore,China,FALSE,TRUE,1615.43,2,16-10-20,09-02-21,18-02-21,4,11-11-06,02-01-12,13-10-15,28-01-00,AIA,2
